Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Ivan Castillo","KCR","2B","","27.1694444",,44,"55 / 55","30 / 30","40 / 40","50 / 50","35+",459,0.322368421,0.35235732,0.109181142,0.100217864,0.122004357,81.81482066343005,"15971"
"Jose Herrera","ARI","C","MLB","25.4361111",,35,"50 / 50","30 / 30","40 / 40","20 / 20","35+",123,0.406504065,0.401869158,0.084112149,0.121951219,0.089430894,113.27434744539445,"17040"
"Tyler Nevin","BAL","1B","","25.1722222",,42,"50 / 55","40 / 40","50 / 50","30 / 30","35+",226,0.376106194,0.461538461,0.179487179,0.115044247,0.181415929,124.06289845195444,"17893"
"Brett Sullivan","SDP","C","MLB","28.4416666",,22,"55 / 55","30 / 30","35 / 35","30 / 30","35+",481,0.34095634,0.446009389,0.159624413,0.081081081,0.122661122,92.82378806356766,"18217"
"Juan Yepez","STL","LF","MLB","24.45",,14,"50 / 55","50 / 55","60 / 60","40 / 40","40",234,0.35042735,0.557692307,0.283653846,0.094017094,0.213675213,134.86169832147786,"18400"
"Ali Sanchez","DET","C","MLB","25.5305555",,25,"35 / 40","30 / 30","40 / 40","30 / 30","35+",304,0.365131578,0.394636015,0.126436782,0.128289473,0.256578947,106.12533408304643,"18551"
"Brendon Davis","DET","SS","","25.0083333",,33,"30 / 30","45 / 45","60 / 60","40 / 40","35+",589,0.339558573,0.423459244,0.188866799,0.123938879,0.229202037,99.45035087777858,"18587"
"Donny Sands","PHI","C","AAA","26.2083333",,18,"45 / 45","45 / 45","55 / 55","20 / 20","40",267,0.400749063,0.424107142,0.125,0.149812734,0.17977528,125.35936353617957,"18603"
"Yohel Pozo","TEX","C","","25.1305555",,33,"55 / 55","30 / 30","50 / 50","20 / 20","35+",275,0.345454545,0.475095785,0.16091954,0.04,0.116363636,102.01760892942013,"18848"
"Lucius Fox","WSN","SS","","25.0805555",,29,"40 / 40","30 / 30","40 / 40","70 / 70","35+",263,0.318007662,0.364806866,0.124463519,0.087452471,0.254752851,82.59943185189331,"18899"
"Brian Serven","COL","C","AAA","27.2388888",,14,"40 / 45","40 / 40","45 / 45","30 / 30","40+",114,0.403508771,0.494505494,0.230769231,0.149122807,0.166666666,128.31469863052237,"19422"
"Yonny Hernandez","ARI","SS","MLB","24.2416666",,17,"50 / 60","20 / 20","30 / 30","60 / 60","40",312,0.346278317,0.318181818,0.083333334,0.121794871,0.157051282,76.59156185085264,"19432"
"Cooper Hummel","ARI","RF","MLB","27.675",,28,"55 / 55","30 / 30","45 / 45","45 / 45","40",188,0.420212765,0.496732026,0.202614379,0.170212765,0.244680851,133.39293631751434,"19458"
