Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Michael Perez","TBR","C","","27.8444444",,31,"40 / 45","20 / 40","45 / 45","40 / 40","40",263,0.342205323,0.488986784,0.233480177,0.121673003,0.231939163,110.02233568793817,"12977"
"Tyrone Taylor","MIL","OF","MLB","26.3861111",,27,"50 / 50","40 / 45","45 / 45","55 / 55","40",423,0.338862559,0.462962962,0.187830687,0.070921985,0.215130023,94.0042768044458,"13675"
"Anthony Alford","TOR","CF","AA","25.8916666",,23,"40 / 40","40 / 45","60 / 60","70 / 70","40",373,0.347708894,0.454268292,0.192073171,0.09919571,0.284182305,106.84708955433676,"14329"
"Dawel Lugo","DET","2B","MLB","25.4472222",,24,"","","","","35+",322,0.357142857,0.466666666,0.146666666,0.04968944,0.170807453,109.31708349671148,"14713"
"Yu Chang","CLE","SS","","23.6",103,3,"35 / 45","55 / 55","45 / 55","50 / 50","50",304,0.319078947,0.439560439,0.183150183,0.085526315,0.243421052,89.62654440875684,"14773"
"Garrett Cooper","MIA","1B","AAA","29.4611111",,19,"50 / 50","50 / 55","60 / 60","30 / 30","40",64,0.484375,0.589285714,0.160714286,0.09375,0.109375,195.44698212343206,"15279"
"Justin Williams","STL","LF","AAA","24.8083333",,18,"40 / 45","40 / 50","60 / 60","40 / 40","40",180,0.372222222,0.484276729,0.188679245,0.111111111,0.261111111,114.97203069141914,"15490"
"Abiatal Avelino","SFG","2B","AA","25.325",,24,"45 / 45","30 / 30","50 / 50","55 / 55","35+",532,0.310018903,0.432,0.156,0.046992481,0.171052631,75.3045032383913,"15496"
"Willians Astudillo","MIN","1B","AAA","28.6583333",,11,"80 / 80","45 / 45","40 / 40","20 / 20","40+",156,0.403846153,0.589041095,0.212328767,0.025641025,0.012820512,159.21092204036518,"15608"
"Billy McKinney","TOR","LF","","25.8",,11,"45 / 50","55 / 55","55 / 55","50 / 45","40+",215,0.38317757,0.480446927,0.212290503,0.148837209,0.172093023,122.38607215511165,"15654"
"Reese McGuire","TOR","C","","25.275",,22,"45 / 50","20 / 35","45 / 45","30 / 30","40",300,0.308724832,0.356060606,0.117424243,0.09,0.153333333,68.47588772860374,"15674"
"Rowdy Tellez","TOR","1B","","25.2361111",,17,"40 / 45","55 / 55","60 / 60","40 / 30","40",161,0.403726708,0.657342657,0.321678322,0.099378881,0.236024844,166.15242604716335,"15679"
"Kean Wong","TBR","2B","","25.15",,40,"50 / 50","35 / 40","45 / 45","50 / 50","40",549,0.378427787,0.459958932,0.156057495,0.092896174,0.224043715,117.01154314096864,"15994"
"Mike Gerber","SFG","RF","","27.925",,15,"40 / 40","50 / 55","60 / 60","50 / 50","40",540,0.37037037,0.568507157,0.255623722,0.072222222,0.27037037,123.80411712947381,"16115"
"Michael Hermosillo","LAA","RF","","25.4",,18,"40 / 45","40 / 45","50 / 50","65 / 65","40",306,0.330065359,0.46641791,0.223880597,0.088235294,0.290849673,90.66028796288535,"16285"
"Nick Ciuffo","TBR","C","","25.2611111",,33,"45 / 50","40 / 45","55 / 55","20 / 20","40",189,0.285714285,0.358823529,0.141176471,0.089947089,0.28042328,63.712108829094625,"16291"
"Nick Gordon","MIN","2B","AAA","24.6305555",,19,"40 / 45","30 / 45","50 / 50","55 / 55","40",340,0.34117647,0.458333333,0.16025641,0.055882352,0.208823529,101.8635411568407,"16337"
"Pablo Reyes","PIT","3B","AAA","26.7666666",,10,"50 / 55","45 / 50","50 / 50","50 / 50","40+",263,0.348659003,0.525210084,0.235294118,0.068441064,0.16730038,121.72051929943106,"16357"
"Oscar Mercado","CLE","CF","","24.3",,12,"50 / 55","35 / 40","45 / 45","55 / 55","45",181,0.4,0.559748427,0.238993711,0.093922651,0.215469613,145.35358685749293,"16375"
"Francisco Mejia","SDP","C","","24.6222222",59,6,"50 / 60","40 / 50","55 / 55","50 / 45","50",123,0.398373983,0.693693693,0.333333333,0.056910569,0.178861788,160.89192322033665,"16403"
"Domingo Leyba","ARI","2B","AAA","24.75",,13,"50 / 55","30 / 35","40 / 40","45 / 45","40",518,0.349420849,0.515789473,0.218947368,0.065637065,0.156370656,106.15460582493246,"16404"
"Sergio Alcantara","DET","SS","MLB","23.9194444",,16,"35 / 55","20 / 30","30 / 30","50 / 50","40",395,0.340966921,0.289085545,0.04719764,0.126582278,0.187341772,92.8177863590055,"16417"
"Thairo Estrada","NYY","SS","MLB","24.3027777",,26,"45 / 55","30 / 40","45 / 45","60 / 55","40",294,0.319727891,0.450184501,0.184501845,0.061224489,0.200680272,93.7952386503532,"16426"
