Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Dixon Machado","DET","SS","","24",0,7,"30 / 40","20 / 30","30 / 30","50 / 50","45",75,0.266666666,0.28169014,0.042253521,0.04,0.2,42.642284685235744,"11472"
"Elias Diaz","PIT","C","","26",0,12,"40 / 50","30 / 40","45 / 45","20 / 20","40",266,0.301886792,0.355731225,0.086956522,0.041353383,0.150375939,80.07334587897937,"11680"
"Drew Robinson","TEX","INF","","24",0,19,"40 / 40","40 / 45","55 / 55","55 / 55","40",386,0.366233766,0.49090909,0.227272727,0.134715025,0.246113989,121.84460096439464,"11761"
"Tyler Austin","NYY","OF","AAA","25",0,26,"60 / 60","45 / 45","55 / 55","30 / 30","40",207,0.357487922,0.562162162,0.275675676,0.096618357,0.260869565,151.74979354536114,"11850"
"Ben Gamel","SEA","OF","","24",0,8,"50 / 55","30 / 35","45 / 45","55 / 55","40",143,0.377622377,0.450819672,0.172131148,0.118881118,0.195804195,119.12698425440986,"12160"
"Jorge Bonifacio","KCR","OF","","23",0,10,"45 / 55","40 / 45","50 / 50","40 / 30","45",87,0.40229885,0.6875,0.3375,0.08045977,0.126436781,176.8907423316692,"12174"
"Jorge Alfaro","PHI","C","MLB","23",32,3,"30 / 40","40 / 50","70 / 70","50 / 50","55",358,0.290502793,0.361445783,0.120481928,0.044692737,0.326815642,78.95956112061974,"12180"
"Brian Goodwin","WSN","OF","","26",0,18,"35 / 40","35 / 40","55 / 55","60 / 60","40",155,0.294117647,0.298507462,0.089552239,0.109677419,0.270967741,66.38979715159275,"12858"
"Alen Hanson","PIT","2B","","24",0,10,"45 / 50","30 / 40","40 / 40","60 / 60","45",62,0.393442622,0.425925925,0.092592592,0.096774193,0.161290322,119.2374247752489,"12926"
"Brandon Nimmo","NYM","OF","MLB","23",0,9,"45 / 50","40 / 45","50 / 50","55 / 55","45",243,0.378600823,0.396039603,0.143564356,0.160493827,0.230452674,111.72070399460775,"12927"
"Socrates Brito","ARI","OF","","24",0,2,"30 / 40","30 / 40","50 / 50","60 / 60","45",336,0.333333333,0.440129449,0.15210356,0.06845238,0.202380952,97.2241425512625,"12944"
