Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Emmanuel Rivera","KCR","3B","MLB","21",0,11,"35 / 50","30 / 50","45 / 50","45 / 45","40",445,0.325842696,0.416666666,0.142156863,0.06741573,0.150561797,107.91194141131724,"19890"
"Pavin Smith","ARI","1B","MLB","22",0,4,"35 / 55","30 / 50","60 / 60","40 / 40","45",513,0.343079922,0.391498881,0.136465324,0.113060428,0.126705653,100.9107939043499,"19892"
"Connor Wong","LAD","C","MLB","21",0,17,"35 / 55","30 / 50","50 / 50","55 / 55","40",431,0.350348027,0.480417754,0.211488251,0.088167053,0.320185614,124.11207378776207,"19896"
"Gavin Sheets","CHW","1B","","21",0,14,"30 / 50","40 / 55","70 / 70","30 / 30","40",502,0.364541832,0.402714932,0.113122172,0.103585657,0.163346613,120.31700797177051,"19901"
"Anderson Tejeda","TEX","SS","ST","19",0,16,"20 / 40","20 / 50","55 / 60","55 / 55","40",522,0.331417624,0.438972162,0.17987152,0.093869731,0.272030651,116.80772568605721,"19909"
"Sandro Fabian","SFG","RF","","20",0,11,"35 / 60","30 / 50","45 / 55","50 / 45","40",453,0.258351893,0.322738386,0.124694377,0.057395143,0.240618101,55.43645770384604,"19910"
"Jesus Sanchez","TBR","RF","MLB","20",49,5,"20 / 50","30 / 55","55 / 60","50 / 50","50",495,0.325252525,0.439655172,0.155172414,0.052525252,0.185858585,116.25385616193347,"19913"
"Daulton Varsho","ARI","C","MLB","21",0,5,"35 / 55","20 / 50","50 / 55","55 / 55","45",354,0.367231638,0.474683544,0.180379747,0.084745762,0.20338983,127.56782390831995,"19918"
"Blake Perkins","WSN","CF","MLB","21",0,7,"20 / 45","20 / 30","30 / 40","60 / 60","40",606,0.364548494,0.304878048,0.06707317,0.156765676,0.224422442,99.58208120779148,"19921"
"Cristian Pache","ATL","CF","MLB","18",37,5,"20 / 55","20 / 40","50 / 55","80 / 80","55",506,0.304950495,0.405797101,0.128364389,0.039525691,0.199604743,100.34029468934817,"19948"
"Andres Gimenez","NYM","SS","MLB","19",0,2,"30 / 55","20 / 45","30 / 45","55 / 50","45",509,0.349301397,0.413333333,0.128888889,0.060903732,0.180746561,117.97694719168564,"19950"
"Khalil Lee","KCR","RF","","19",0,4,"30 / 40","30 / 55","55 / 60","55 / 50","45",424,0.382422802,0.388571428,0.125714286,0.141509433,0.245283018,123.21362444228922,"19952"
"Josh Lowe","TBR","CF","MLB","20",0,10,"25 / 50","20 / 45","60 / 60","60 / 60","45",461,0.323913043,0.371287128,0.131188119,0.104121475,0.253796095,100.23471557837573,"19953"
"Gavin Lux","LAD","SS","MLB","20",0,18,"25 / 50","20 / 40","40 / 45","60 / 60","40",530,0.401886792,0.518201284,0.192719486,0.111320754,0.166037735,148.87363249149146,"19955"
"Mickey Moniak","PHI","OF","MLB","19",0,6,"25 / 55","20 / 40","40 / 50","60 / 55","45",465,0.30387931,0.383371824,0.113163972,0.047311827,0.215053763,95.29818515807588,"19956"
"Blake Rutherford","CHW","LF","MLB","20",0,11,"30 / 55","30 / 50","50 / 50","50 / 45","45",495,0.341414141,0.429515418,0.140969163,0.07070707,0.189898989,117.2063001121857,"19957"
"Carter Kieboom","WSN","3B","MLB","20",40,2,"35 / 55","30 / 55","55 / 60","50 / 45","55",564,0.354609929,0.442885771,0.164328657,0.102836879,0.19858156,124.8859706808507,"19958"
"Taylor Trammell","CIN","OF","MLB","20",57,3,"30 / 55","30 / 50","50 / 55","70 / 70","50",461,0.375271149,0.405541561,0.128463476,0.125813449,0.227765726,129.09843199799445,"19960"
"Colton Welker","COL","3B","","20",0,5,"30 / 55","30 / 55","55 / 55","40 / 30","45",511,0.381604696,0.486842105,0.155701755,0.08219178,0.201565557,132.75850561828645,"19961"
"Eguy Rosario","SDP","2B","MLB","18",0,42,"25 / 55","20 / 45","45 / 50","50 / 40","40",521,0.307101727,0.357446808,0.121276596,0.076775431,0.238003838,81.33378015003656,"19964"
"Bobby Dalbec","BOS","3B","AAA","22",0,11,"30 / 40","30 / 60","70 / 70","40 / 40","40",547,0.360146252,0.554585152,0.299126637,0.122486288,0.32358318,151.65927383575809,"19966"
"Conner Capel","CLE","OF","MLB","20",0,11,"30 / 45","40 / 50","55 / 55","55 / 55","40",513,0.341846758,0.376975169,0.11738149,0.109161793,0.200779727,105.60307422925334,"19983"
"Keston Hiura","MIL","2B","MLB","21",24,1,"40 / 60","40 / 55","55 / 55","50 / 50","55",567,0.361552028,0.468992248,0.168604652,0.065255731,0.195767195,134.48713665073447,"20003"
"Isaac Paredes","DET","SS","MLB","19",0,9,"30 / 60","20 / 50","45 / 50","40 / 40","45",504,0.357852882,0.45391705,0.177419355,0.101190476,0.15079365,130.19731649544008,"20036"
"Jorge Ona","SDP","OF","","21",0,34,"30 / 50","40 / 55","55 / 60","50 / 45","40",410,0.312195121,0.380434782,0.141304348,0.080487804,0.268292682,87.30334327205486,"20040"
"Luis Robert Jr.","CHW","CF","MLB","20",21,3,"25 / 50","30 / 55","65 / 65","60 / 60","60",220,0.337899543,0.372448979,0.102040816,0.063636363,0.25,102.35256393628092,"20043"
"Brian Miller","MIA","CF","","22",0,14,"35 / 60","20 / 40","40 / 45","55 / 55","40",567,0.3375,0.35440613,0.059386973,0.056437389,0.119929453,98.56447308764811,"20047"
"Evan White","SEA","1B","AAA","21",0,3,"35 / 60","30 / 45","45 / 50","60 / 55","45",573,0.366492146,0.445972495,0.149312378,0.092495636,0.195462478,120.39914058559006,"20078"
"Juan Soto","WSN","OF","MLB","19",50,3,"30 / 55","30 / 55","55 / 60","45 / 40","50",193,0.461139896,0.757763975,0.397515528,0.160621761,0.155440414,231.15279524956247,"20123"
"Dylan Carlson","STL","OF","MLB","19",0,19,"20 / 40","20 / 50","50 / 60","45 / 40","40",500,0.348697394,0.390588235,0.143529412,0.124,0.176,113.65917678259778,"20126"
"J.J. Matijevic","HOU","1B/LF","AAA","22",0,24,"30 / 40","40 / 50","55 / 55","50 / 50","40",434,0.350230414,0.537662337,0.25974026,0.101382488,0.260368663,146.85985431584828,"20165"
"Brendan McKay","TBR","LHP/1B","","22",22,3,"25 / 55","35 / 55","65 / 65","35 / 30","60",242,0.367768595,0.359375,0.145833334,0.181818181,0.214876033,115.92307156717453,"20186"
"Brandon Marsh","LAA","OF","MLB","20",97,4,"30 / 50","30 / 50","55 / 60","60 / 55","50",583,0.359106529,0.411067193,0.144268775,0.125214408,0.274442538,113.14812417786403,"20202"
"Jo Adell","LAA","OF","MLB","18",66,2,"20 / 50","30 / 60","60 / 70","55 / 45","50",444,0.354401805,0.540201005,0.251256282,0.074324324,0.25,142.76087101640366,"20220"
"Gilberto Celestino","HOU","OF","","19",0,10,"30 / 55","20 / 40","30 / 40","60 / 60","40",268,0.34082397,0.405737704,0.118852459,0.059701492,0.171641791,111.49564940820301,"20233"
"Mario Feliciano","MIL","C","AA","19",0,14,"25 / 55","20 / 45","45 / 50","40 / 40","40",181,0.290502793,0.33125,0.11875,0.082872928,0.342541436,78.20227625671183,"20263"
"Jonathan Arauz","HOU","INF","","19",0,16,"25 / 55","20 / 30","30 / 40","45 / 45","40",495,0.304259634,0.373303167,0.14479638,0.092929292,0.151515151,91.71131745081611,"20275"
"Stuart Fairchild","CIN","OF","MLB","21",0,17,"30 / 45","30 / 40","50 / 50","55 / 55","40",519,0.342967244,0.405701754,0.14254386,0.092485549,0.246628131,115.56134453884802,"20321"
"Alex Kirilloff","MIN","RF","","20",99,3,"30 / 55","30 / 50","55 / 60","50 / 45","50",562,0.391459074,0.57699805,0.230019493,0.067615658,0.15480427,171.42349756968218,"20325"
"Luis Gonzalez","CHW","RF","AAA","22",0,16,"35 / 55","30 / 45","50 / 50","50 / 50","40",546,0.365808823,0.49484536,0.189690721,0.087912087,0.19047619,142.48292381441252,"20332"
"Luis Garcia Jr.","WSN","SS","MLB","17",0,12,"20 / 45","20 / 40","45 / 50","55 / 60","40",548,0.337638376,0.408730158,0.109126984,0.056569343,0.149635036,112.10494903780234,"20391"
"Royce Lewis","MIN","CF","MLB","18",38,1,"30 / 55","25 / 50","50 / 55","60 / 60","55",536,0.351401869,0.450413223,0.159090909,0.08022388,0.156716417,128.47523576251112,"20437"
"Jazz Chisholm Jr.","ARI","SS","MLB","20",0,3,"20 / 40","30 / 55","50 / 55","55 / 55","45",501,0.329341317,0.513157894,0.24122807,0.077844311,0.297405189,130.7665363209056,"20454"
"William Contreras","ATL","C","MLB","20",0,14,"20 / 50","20 / 50","50 / 55","45 / 40","45",434,0.345622119,0.433673469,0.150510204,0.080645161,0.207373271,123.6919783413644,"20503"
"Drew Waters","ATL","CF","MLB","19",0,17,"20 / 50","20 / 55","55 / 60","60 / 55","45",498,0.343373493,0.476086956,0.182608696,0.058232931,0.210843373,132.5066003089205,"20505"
"Nolan Jones","CLE","3B","MLB","19",0,6,"20 / 40","30 / 55","55 / 60","30 / 30","45",521,0.403071017,0.463869463,0.181818181,0.170825335,0.253358925,149.77385750575107,"20529"
"Vidal Brujan","TBR","2B","MLB","20",0,12,"30 / 55","20 / 40","40 / 50","60 / 60","45",553,0.399274047,0.454166666,0.1375,0.11392405,0.126582278,146.40497976683284,"20536"
"Jose Miranda","MIN","2B","MLB","19",0,13,"35 / 55","30 / 50","45 / 50","50 / 45","45",552,0.318840579,0.417495029,0.153081511,0.05615942,0.11231884,109.19056602013828,"20538"
"Jose Devers","MIA","SS","MLB","18",0,16,"25 / 55","20 / 50","30 / 50","50 / 55","40",371,0.313351498,0.330434782,0.057971014,0.043126684,0.132075471,86.88002304579894,"20540"
"Dermis Garcia","NYY","3B","","20",0,19,"20 / 40","30 / 60","70 / 80","40 / 30","40",363,0.319559228,0.444444444,0.203703704,0.099173553,0.305785123,117.51940357049767,"20926"
"Leo Rivas","LAA","INF","MLB","20",0,12,"35 / 50","20 / 30","30 / 40","70 / 70","40",556,0.353260869,0.33261339,0.099352051,0.151079136,0.253597122,102.99886880014634,"21009"
"Miguel Amaya","CHC","C","MLB","18",0,9,"30 / 55","20 / 40","45 / 50","40 / 30","40",479,0.348643006,0.403381642,0.147342995,0.104384133,0.189979123,114.40821259975174,"21693"
"Oswaldo Cabrera","NYY","2B","MLB","19",0,26,"20 / 55","20 / 40","40 / 45","50 / 50","40",526,0.272552783,0.319587628,0.090721649,0.053231939,0.125475285,70.1889334957287,"21707"
"Oneil Cruz","PIT","INF","MLB","19",0,15,"20 / 40","30 / 60","60 / 70","55 / 40","40",443,0.343115124,0.487562189,0.201492538,0.076749435,0.225733634,133.8035877642827,"21711"
"Esteury Ruiz","SDP","2B","MLB","19",0,18,"25 / 55","20 / 55","50 / 60","55 / 50","45",496,0.324489795,0.404977375,0.15158371,0.076612903,0.284274193,107.91956073495514,"21780"
"Sherten Apostel","PIT","3B","","18",0,16,"20 / 40","20 / 55","40 / 60","40 / 30","40",224,0.419642857,0.460227272,0.181818182,0.183035714,0.223214285,139.76042129133194,"21794"
"Will Benson","CLE","RF","MLB","19",0,7,"20 / 40","30 / 60","65 / 70","55 / 50","45",510,0.329411764,0.380382775,0.196172249,0.164705882,0.298039215,106.13540817688684,"21853"
"Hagen Danner","TOR","C","MLB","19",0,20,"20 / 40","30 / 50","55 / 60","50 / 40","40",137,0.408759124,0.432432432,0.153153153,0.145985401,0.255474452,127.75569470530775,"22116"
"Nick Pratto","KCR","1B","MLB","19",0,2,"25 / 60","30 / 60","55 / 60","40 / 40","45",543,0.342541436,0.446938775,0.167346939,0.084714548,0.279926335,124.81573513205467,"22117"
"Ryan Vilade","COL","3B","MLB","19",0,4,"25 / 50","30 / 55","55 / 60","45 / 40","45",533,0.352601156,0.367614879,0.094091904,0.091932457,0.18011257,110.49338395188741,"22165"
