Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Justin Williams","STL","LF","AAA","25.7805555",,19,"55 / 55","40 / 40","60 / 60","40 / 40","40",149,0.288590604,0.45,0.207142858,0.046979865,0.234899328,93.50808651528985,"15490"
"Ivan Castillo","SDP","2B","","26.0027777",,35,"55 / 55","30 / 35","40 / 40","50 / 50","35+",459,0.320261437,0.355971896,0.074941452,0.058823529,0.180827886,69.51130424026195,"15971"
"Kean Wong","LAA","2B","","26.1222222",,27,"40 / 40","30 / 30","35 / 35","50 / 50","35+",227,0.374449339,0.452380952,0.123809524,0.070484581,0.176211453,107.11545025712111,"15994"
"Nick Gordon","MIN","SS","AAA","25.6027777",,37,"40 / 45","30 / 40","50 / 50","55 / 55","35+",87,0.32183908,0.407407407,0.135802469,0.068965517,0.172413793,95.36667143365935,"16337"
"Kevin Padlo","TBR","3B","","24.8777777",,24,"35 / 40","45 / 55","60 / 60","40 / 40","40+",416,0.302884615,0.444444444,0.222222222,0.100961538,0.288461538,90.32395993832625,"16593"
"Jason Vosler","SFG","3B","","27.7361111",,40,"40 / 40","50 / 50","60 / 60","30 / 30","35+",368,0.375,0.507886435,0.211356467,0.103260869,0.163043478,119.08066594124608,"16686"
"Jonah Heim","TEX","C","MLB","25.9277777",,7,"50 / 50","30 / 30","50 / 50","30 / 30","45",31,0.258064516,0.222222222,0.074074074,0.064516129,0.064516129,34.97721732125945,"16930"
"Edmundo Sosa","STL","SS","MLB","25.2361111",,16,"45 / 45","30 / 30","45 / 45","50 / 50","40",30,0.3,0.36,0.16,0.1,0.1,74.38785984835594,"17022"
"Monte Harrison","MIA","CF","AAA","25.8083333",,21,"30 / 30","40 / 40","70 / 70","70 / 70","40+",350,0.328571428,0.434210526,0.200657895,0.102857142,0.377142857,104.68309670869664,"17216"
"Alex Jackson","ATL","C","MLB","25.4333333",,8,"35 / 40","50 / 55","70 / 70","30 / 30","45",157,0.343949044,0.640287769,0.374100719,0.089171974,0.280254777,151.04249070799636,"17276"
"Bobby Bradley","CLE","DH","AAA","25.0055555",,38,"30 / 35","50 / 55","70 / 70","20 / 20","40",153,0.274509803,0.496350364,0.284671532,0.065359477,0.300653594,96.24406459952806,"17278"
"Yermin Mercedes","CHW","DH","AAA","28.2972222",,15,"55 / 55","50 / 50","60 / 60","30 / 30","40",290,0.320689655,0.442379182,0.167286246,0.051724137,0.175862068,102.05271829433039,"17423"
"Kelvin Gutierrez","KCR","3B","","26.7583333",,26,"45 / 45","40 / 40","55 / 55","40 / 40","40",146,0.287671232,0.43884892,0.187050359,0.047945205,0.232876712,89.48989786431245,"17468"
"Tyler Nevin","BAL","1B","","24.0055555",,17,"50 / 55","40 / 45","50 / 50","35 / 35","40",491,0.307535641,0.389400921,0.158986175,0.089613034,0.201629327,86.50886066094174,"17893"
"Marcus Wilson","BOS","CF","","24.7944444",,46,"30 / 35","40 / 45","55 / 55","60 / 60","35+",448,0.366071428,0.420911528,0.1769437,0.154017857,0.337053571,110.19871928589157,"17910"
"Tyler Stephenson","CIN","C","MLB","24.7916666",81,3,"45 / 50","40 / 45","65 / 65","30 / 30","50",48,0.354166666,0.292682926,0.024390244,0.125,0.291666666,80.46220018802418,"17988"
