Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Brandon Valenzuela","SDP","C","AAA","22.825",,9,"30 / 40","30 / 40","45 / 45","30 / 30","40+",264,0.337121212,0.373913043,0.134782609,0.113636363,0.25,100.37530212753215,"sa3005729"
"Diego Hernandez","KCR","CF","AA","22.6888888",,20,"40 / 45","20 / 30","30 / 40","60 / 60","40",313,0.323529411,0.34767025,0.086021505,0.063897763,0.252396166,78.82339184275554,"sa3005759"
"Anthony Garcia","NYY","RF","","22.9",,41,"20 / 30","35 / 60","70 / 80","40 / 30","35+",219,0.310502283,0.347826086,0.157608695,0.150684931,0.374429223,84.94698627474251,"sa3005924"
"Pablo Aliendo","CHC","C","AA","22.1666666",,26,"30 / 35","30 / 45","50 / 55","40 / 40","40",379,0.328912466,0.452307692,0.224615385,0.108179419,0.308707124,107.11824329659385,"sa3006220"
"George Valera","CLE","RF","AAA","22.7111111",,8,"30 / 35","45 / 55","55 / 60","50 / 50","45",344,0.348837209,0.393617021,0.173758865,0.15988372,0.264534883,88.60653343761479,"sa3006872"
"Carlos De La Cruz","PHI","RF","AAA","23.8138888",,9,"30 / 35","35 / 60","70 / 80","55 / 50","40+",599,0.342237061,0.454198473,0.196564886,0.093489148,0.277128547,117.69862829669067,"sa3006903"
"Nick Meyer","NYM","C","","26.4472222",,33,"40 / 45","30 / 30","35 / 35","30 / 30","35+",274,0.308823529,0.302521008,0.088235294,0.109489051,0.218978102,58.177237796258396,"sa3007826"
"Wilderd Patino","ARI","CF","","22.0305555",,26,"30 / 30","30 / 40","50 / 50","60 / 60","40",496,0.362903225,0.338862559,0.087677725,0.10282258,0.278225806,98.45424644886091,"sa3007874"
"Brennen Davis","CHC","RF","AAA","23.7416666",,44,"30 / 30","40 / 55","60 / 60","40 / 40","35+",310,0.300970873,0.310861423,0.108614232,0.083870967,0.24516129,59.30198756750591,"sa3007876"
"Will Banfield","MIA","C","AAA","23.6972222",,27,"30 / 30","30 / 40","40 / 45","45 / 45","35+",495,0.301619433,0.47161572,0.213973799,0.05050505,0.246464646,100.07817023704209,"sa3007973"
"Ezequiel Pagan","CHC","LF","AA","23.0583333",,28,"35 / 55","30 / 35","30 / 30","55 / 55","40",437,0.378440366,0.40052356,0.102094241,0.089244851,0.151029748,123.07324599926777,"sa3007975"
"Malcom Nunez","PIT","1B","AAA","22.3888888",,22,"40 / 45","50 / 55","60 / 60","20 / 20","40",329,0.334346504,0.371527777,0.125,0.088145896,0.221884498,82.61847299333438,"sa3008113"
"Korry Howell","SDP","CF","","24.9111111",,12,"30 / 35","35 / 40","50 / 50","70 / 70","40",269,0.282527881,0.279475982,0.109170306,0.107806691,0.327137546,54.09275988282742,"sa3008238"
"Ronny Simon","TBR","2B","AAA","23.2833333",,22,"30 / 35","30 / 40","45 / 50","60 / 60","40",581,0.336206896,0.403960396,0.154455446,0.110154905,0.22030981,95.919573815816,"sa3008365"
"Diego Cartaya","LAD","C","AAA","21.8944444",22,1,"30 / 45","35 / 60","55 / 60","40 / 30","55",417,0.278177458,0.369863013,0.183561644,0.095923261,0.290167865,69.42451481200514,"sa3008742"
