Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Carlos Narvaez","NYY","C","MLB","25.6611111",,35,"30 / 30","35 / 40","45 / 45","20 / 20","35+",420,0.371428571,0.416666666,0.163793103,0.142857142,0.264285714,110.0728794634247,"19722"
"Eguy Rosario","SDP","3B","MLB","24.1",,11,"30 / 35","45 / 50","50 / 50","40 / 40","40",454,0.359030837,0.521850899,0.259640103,0.121145374,0.21585903,116.95679458044975,"19964"
"Jair Camargo","MIN","C","MLB","25.0638888",,22,"30 / 35","30 / 50","65 / 65","20 / 20","40",369,0.300813008,0.418181818,0.193939394,0.078590785,0.289972899,84.81014629537482,"21730"
"Johnathan Rodriguez","CLE","RF","MLB","24.7222222",,30,"30 / 35","45 / 55","65 / 65","40 / 40","35+",530,0.386792452,0.526200873,0.229257642,0.126415094,0.250943396,136.65478656597577,"22530"
"Michael Siani","STL","CF","MLB","25.0222222",,14,"40 / 45","30 / 30","40 / 40","60 / 60","40",69,0.405797101,0.309090909,0.054545455,0.188405797,0.173913043,110.61655015889245,"22557"
"Alexander Canario","CHC","RF","MLB","24.2138888",,25,"30 / 35","45 / 55","60 / 60","50 / 45","40",346,0.338150289,0.483333333,0.243333333,0.121387283,0.291907514,112.18093424398651,"22842"
"Jacob Amaya","HOU","SS","MLB","25.8916666",,14,"50 / 55","30 / 30","40 / 40","55 / 55","40",319,0.297805642,0.314487632,0.102473498,0.103448275,0.247648902,56.476883976379845,"23296"
"Hunter Feduccia","LAD","C","MLB","27.1361111",,25,"40 / 50","30 / 30","40 / 40","30 / 30","40",365,0.402739726,0.417508417,0.141414141,0.169863013,0.21369863,113.81919321704396,"23372"
"Luis Vazquez","CHC","SS","MLB","24.7888888",,35,"30 / 30","40 / 40","50 / 50","50 / 50","35+",309,0.342105263,0.420074349,0.156133829,0.08737864,0.22330097,100.58298843813297,"23442"
"Brayan Rocchio","CLE","SS","MLB","23.5305555",63,2,"50 / 60","40 / 45","40 / 45","45 / 45","50",51,0.294117647,0.416666666,0.166666666,0.039215686,0.098039215,87.94719766575231,"23690"
"Jose Tena","CLE","2B","MLB","23.3444444",,15,"30 / 35","30 / 45","50 / 55","45 / 45","40+",486,0.339544513,0.46590909,0.184090909,0.0781893,0.253086419,108.10151253494077,"23691"
"Everson Pereira","NYY","LF","MLB","23.2888888",,19,"30 / 30","45 / 50","60 / 60","55 / 50","40",216,0.324074074,0.474226804,0.221649485,0.078703703,0.337962962,105.16809340592152,"23695"
"Wilyer Abreu","BOS","RF","MLB","25.0833333",,9,"35 / 40","45 / 50","50 / 50","50 / 50","45",90,0.288888888,0.346666666,0.2,0.166666666,0.322222222,72.50873180849176,"23772"
"Leo Jimenez","TOR","SS","MLB","23.1861111",,5,"50 / 60","30 / 40","35 / 40","50 / 50","45",243,0.403292181,0.408163265,0.147959184,0.12345679,0.1563786,123.05734832418213,"23782"
"Blaze Alexander","ARI","SS","MLB","25.1194444",,20,"30 / 30","40 / 40","50 / 50","45 / 45","40",283,0.368794326,0.49003984,0.187250996,0.077738515,0.272084805,117.33805239165169,"23789"
"Parker Meadows","DET","CF","MLB","24.7277777",,6,"40 / 40","40 / 50","50 / 55","60 / 60","45",293,0.389078498,0.533333333,0.227450981,0.112627986,0.191126279,139.5356993740441,"23800"
"Jorge Barrosa","ARI","CF","MLB","23.4361111",,7,"55 / 60","30 / 30","30 / 30","55 / 55","45",393,0.352040816,0.410557184,0.143695014,0.106870229,0.183206106,94.2111992322983,"23968"
"Curtis Mead","TBR","3B","MLB","23.7444444",32,4,"40 / 50","50 / 55","55 / 60","40 / 40","55",466,0.356223175,0.464891041,0.179176756,0.072961373,0.148068669,113.4969767713968,"23986"
