Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Justin Topa","MIL","SIRP","MLB","31.4",,28,"70 / 70","60 / 60","","","30 / 30","35+",19.2,0.2,0.08888889,0.6,4.118643402060266,4.467410850814131,"15145"
"Brent Honeywell","OAK","SP","","27.3361111",,28,"50 / 50","","","60 / 60","60 / 60","40",24.2,0.21487603,0.07438017,0.421686746,8.391894054901034,5.311510905610297,"16466"
"Grant Holmes","OAK","SIRP","MLB","26.3583333",,46,"50 / 50","55 / 55","","40 / 40","30 / 35","35+",43,0.14622642,0.0754717,0.41025641,9.000000024950781,6.352323196711301,"16944"
"Daniel Duarte","CIN","SIRP","MLB","25.6583333",,26,"60 / 60","60 / 60","","","40 / 40","40",11.2,0.22222222,0.14814815,0.411764705,8.485711973541267,5.294245656716356,"17480"
"Jorge Guzman","SFG","SIRP","","26.5083333",,36,"55 / 55","55 / 55","","45 / 50","30 / 35","35+",17.1,0.3,0.1375,0.560975609,3.6346160511999956,3.841684521311983,"17505"
"Brock Burke","TEX","SIRP","MLB","25.9916666",,34,"55 / 55","","50 / 55","45 / 50","40 / 45","35+",6.1,0.34782609,0,0.4,0,3.1254156850310055,"17968"
"Julian Fernandez","COL","SIRP","AAA","26.6555555",,41,"70 / 70","","","45 / 45","20 / 20","35+",58,0.2481203,0.12030075,0.408805031,6.672413793103448,5.987749021217741,"18341"
"Anderson Espinoza","CHC","SP","","24.3944444",,46,"55 / 55","","55 / 55","50 / 55","35 / 45","35+",72,0.24390244,0.14329268,0.356020942,7.375000183160111,5.387575830466169,"18593"
"Hobie Harris","MIL","SIRP","AAA","29.1055555",,32,"70 / 70","","","","30 / 35","35+",56,0.2706422,0.13761468,0.404761904,1.9285714285714286,4.592704516383154,"18615"
"Cody Poteet","MIA","MIRP","MLB","28.0027777",,18,"45 / 45","50 / 50","45 / 45","55 / 55","50 / 50","40",15,0.30645161,0.09677419,0.342857142,2.4,4.522307207278452,"18769"
"Pedro Avila","SDP","SP","MLB","25.5472222",,28,"45 / 45","","45 / 45","55 / 55","45 / 45","35+",112,0.26105263,0.10315789,0.433447098,4.580357142857143,4.588434752023646,"18864"
"Kirby Snead","OAK","SIRP","","27.8166666",,39,"45 / 45","55 / 55","","45 / 50","45 / 45","35+",18.2,0.2987013,0.06493506,0.458333333,4.339284975309887,3.5212398979263844,"19179"
