Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Alex Cook","TBR","SIRP","A+","23.3194444",,45,"60 / 60","45 / 55","","30 / 40","30 / 40","35+",38.1,0.26143791,0.07843137,0.443298969,1.643478478934708,3.6171279106052605,"sa3020879"
"Adam Maier","ATL","SP","CPX","22.6611111",,29,"30 / 30","55 / 60","","45 / 55","35 / 60","35+",83.1,0.21787709,0.0698324,0.504132231,4.103999592956583,3.4547882357882296,"sa3020883"
"Marcelo Perez","SEA","SIRP","A+","24.6888888",,33,"30 / 40","","60 / 60","30 / 40","30 / 50","35+",108.2,0.18700787,0.06299213,0.384615384,7.122699928255018,4.488921824118873,"sa3020889"
"Jackson Ferris","LAD","SP","AA","20.525",,17,"45 / 50","55 / 60","55 / 55","40 / 50","30 / 50","40+",126.2,0.27358491,0.10754717,0.433656957,3.1973686296854127,3.676862607532508,"sa3020891"
"Will Rudy","MIL","SP","A+","23.2138888",,31,"40 / 50","45 / 60","","40 / 50","30 / 50","35+",113.1,0.22553191,0.07659574,0.394984326,4.605882559647619,3.9389383720229025,"sa3020893"
"Henry Williams","KCR","SP","A+","22.85",,31,"45 / 50","","50 / 55","40 / 50","30 / 45","35+",102.2,0.21800948,0.09241706,0.434628975,3.681818546623978,3.910894558338928,"sa3020901"
"Darren Bowen","MIN","SIRP","A+","23.475",,28,"50 / 55","50 / 60","","20 / 40","30 / 40","40",72.2,0.21646341,0.07926829,0.357466063,6.068808189015266,4.134765516585927,"sa3020945"
"Noah Schultz","CHW","SP","AA","20.9694444",40,2,"55 / 60","70 / 80","","35 / 45","30 / 50","50",88.1,0.32122905,0.06703911,0.517241379,2.2415095146290587,2.6896613828404448,"sa3020949"
"Zack Showalter","STL","SIRP","A","20.5027777",,30,"40 / 55","","50 / 60","","30 / 40","35+",34.1,0.38562092,0.11764706,0.439393939,2.6213596116385762,3.0223863025185356,"sa3020959"
"Gary Gill Hill","TBR","SP","A","19.8444444",,8,"50 / 55","50 / 60","","40 / 55","20 / 50","45",108.2,0.24249423,0.06235566,0.481228668,3.147239558423709,3.2387585867079483,"sa3020972"
"Jesus Tillero","LAD","SP","CPX","18.2277777",,30,"45 / 60","40 / 55","","","25 / 60","40",20.2,0.19587629,0.1443299,0.566666666,5.225805647787641,6.098600655447797,"sa3021010"
"Francis Texido","LAA","MIRP","A","19.3138888",,11,"30 / 45","40 / 55","","50 / 60","30 / 50","40",98.1,0.21848739,0.16596639,0.287234042,6.772881706257537,6.040065970532959,"sa3021028"
