Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Adrian Houser","MIL","RHP","AAA","27.3583333",,28,"60 / 60","","45 / 45","55 / 55","45 / 45","40",29.2,0.25210084,0.08403361,0.569444444,1.5168542576595387,4.344639668715946,"12718"
"Reymin Guduan","HOU","LHP","","28.2361111",,36,"","","","","","35+",38.1,0.27325581,0.11627907,0.643564356,2.3478262816575324,4.1103750387955795,"13058"
"Clay Holmes","PIT","RHP","MLB","27.2055555",,29,"60 / 60","","55 / 55","45 / 45","40 / 40","40",29.2,0.17482517,0.15384615,0.539325842,5.460673572168075,6.200474890886154,"13649"
"Walker Lockett","NYM","RHP","MLB","26.1055555",,17,"55 / 55","","50 / 55","50 / 55","40 / 45","40",72.2,0.1630094,0.04075235,0.536290322,4.087155784503876,4.509436005460868,"13804"
"Alec Mills","CHC","RHP","","28.5305555",,17,"45 / 45","50 / 50","40 / 40","55 / 55","55 / 60","40",109,0.21413276,0.06852248,0.4,4.954128440366972,5.233699409403933,"13834"
"Branden Kline","BAL","RHP","","28.7",,20,"65 / 65","50 / 55","","45 / 50","40 / 45","40",28.2,0.29545455,0.12121212,0.405405405,5.965115617584005,3.787133064214293,"14101"
"Ray Black","SFG","RHP","AAA","29.9583333",,17,"80 / 80","55 / 55","","","35 / 35","40",34,0.35460993,0.12765957,0.371428571,4.235294117647059,3.992753949450344,"14244"
"Yohander Mendez","TEX","LHP","MLB","25.4",,36,"","","","","","35+",29.1,0.26277372,0.08759124,0.419753086,5.82954603892349,4.1944200258657585,"14391"
"Jandel Gustave","SFG","RHP","","27.6638888",,26,"70 / 70","55 / 55","","","40 / 40","35+",29.1,0.2265625,0.09375,0.470588235,5.522727871236787,5.192929576913156,"14665"
"Anthony Banda","TBR","LHP","MLB","26.8361111",,18,"55 / 55","50 / 50","40 / 45","50 / 55","40 / 45","45",33.1,0.22758621,0.09655172,0.4375,5.670000540733389,4.38702408411995,"14706"
"Ty Buttrey","LAA","RHP","","27.1972222",,14,"70 / 70","","55 / 55","60 / 60","45 / 45","40+",8.2,0.36363636,0.12121212,0.588235294,2.076922315112512,3.170901372700162,"14719"
"Bobby Wahl","MIL","RHP","","28.2222222",,19,"60 / 60","","60 / 60","40 / 40","40 / 40","40",1.2,0.22222222,0.22222222,0.2,16.199967942301292,7.079327555910277,"14832"
"Giovanny Gallegos","STL","RHP","MLB","28.825",,34,"60 / 60","","55 / 55","50 / 50","40 / 40","40",4.2,0.55555556,0.05555556,0,7.714280065229232,2.5290005294355344,"14986"
"Alex Reyes","STL","RHP","","25.7833333",45,1,"70 / 70","45 / 50","60 / 70","55 / 60","40 / 50","55",45.1,0.27804878,0.16097561,0.43119266,5.757353344900001,5.10918108751631,"15015"
"Yency Almonte","COL","RHP","","26.0194444",,17,"60 / 60","50 / 55","","45 / 50","40 / 45","40",35.1,0.20454545,0.17045455,0.431372549,4.839623076926814,6.42020817181548,"15068"
"Jose De Leon","TBR","RHP","","27.8444444",,22,"45 / 50","45 / 45","50 / 50","60 / 60","50 / 55","40+",56,0.30705394,0.12448133,0.312977099,3.5357144061400008,4.549670534736208,"15463"
"Stephen Gonsalves","MIN","LHP","","25.925",,31,"45 / 45","50 / 50","45 / 45","55 / 55","45 / 45","40",21,0.29787234,0.11702128,0.396226415,4.714285714285714,4.281418520283132,"15492"
