Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Dovydas Neverauskas","PIT","RHP","","24",0,23,"70 / 70","","50 / 55","","45 / 45","40",56.1,0.28813559,0.14830508,0.488549618,3.1952665606857895,3.9084678470741605,"11604"
"Adrian Houser","MIL","RHP","AAA","24",0,17,"60 / 60","","60 / 60","40 / 45","45 / 50","40",79.2,0.19373219,0.07407407,0.522088353,4.9707110987263805,4.070948813341699,"12718"
"Burch Smith","KCR","RHP","MLB","27",0,17,"55 / 55","","55 / 55","55 / 60","45 / 45","40",14,0.30882353,0.17647059,0.40625,6.428571428571429,4.971952455597265,"12784"
"Reymin Guduan","HOU","LHP","","25",0,20,"60 / 60","55 / 55","","","40 / 40","40",63.2,0.33807829,0.12811388,0.527027027,3.3926705975030007,3.1937267214433778,"13058"
"Connor Sadzeck","TEX","RHP","","26",0,22,"60 / 60","55 / 55","50 / 50","40 / 45","40 / 45","40",43.1,0.28571429,0.1005291,0.427272727,4.36153878149904,3.886845152371453,"13483"
"Clay Holmes","PIT","RHP","MLB","24",0,27,"60 / 70","40 / 45","50 / 50","40 / 40","40 / 40","40",108.2,0.23922414,0.09482759,0.609427609,3.395705779749485,3.3635616157792936,"13649"
"Joey Krehbiel","ARI","RHP","MLB","25",0,16,"55 / 55","50 / 50","","60 / 60","40 / 40","40",69,0.2862069,0.1,0.454022988,4.043478372642362,3.8292243798190264,"13707"
"Max Fried","ATL","LHP","MLB","24",78,9,"50 / 55","","65 / 70","50 / 55","45 / 50","50",84.1,0.25479452,0.09863014,0.561946902,4.162055586987859,3.2959595001319664,"13743"
"Austin Adams","WSN","RHP","MLB","26",0,13,"60 / 60","70 / 70","","","35 / 40","40",53,0.37130802,0.10548523,0.415929203,3.566037864182593,2.665290143961286,"13801"
"Walker Lockett","SDP","RHP","MLB","23",0,21,"60 / 60","","50 / 55","50 / 55","","40",136.2,0.2020202,0.05723906,0.473557692,4.807316835553512,4.334694877474723,"13804"
"Alec Mills","CHC","RHP","","25",0,10,"45 / 45","50 / 50","40 / 40","55 / 55","55 / 60","40",137.1,0.19795222,0.07849829,0.409313725,4.7839808261454175,4.673522620805347,"13834"
"Chris Flexen","NYM","RHP","","23",0,11,"55 / 55","45 / 45","50 / 55","50 / 55","45 / 50","40",97,0.19711538,0.07451923,0.422818791,4.268041237113402,4.371295218860981,"13896"
"Luke Bard","MIN","RHP","","27",0,30,"60 / 60","55 / 55","","","45 / 45","40",60.2,0.23684211,0.08270677,0.394285714,5.340660068266532,3.8545903054084736,"14288"
"Yohander Mendez","TEX","LHP","MLB","23",0,4,"55 / 55","45 / 50","45 / 45","55 / 60","45 / 50","50",134.2,0.21302817,0.0721831,0.368286445,4.544554734367954,4.356276022198817,"14391"
"Jorge Lopez","MIL","RHP","MLB","24",0,23,"60 / 60","","55 / 55","50 / 50","35 / 40","40",38.2,0.20958084,0.06586826,0.534482758,5.120689234183637,4.242254378565521,"14527"
"Dillon Maples","CHC","RHP","","25",0,17,"70 / 70","60 / 60","","","30 / 30","40",45.2,0.39351852,0.22222222,0.55,4.335765940448629,3.8609599679050928,"14672"
