Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Josh Smoker","NYM","LHP","","28",0,14,"70 / 70","55 / 55","","","45 / 45","40",26,0.24752475,0.06930693,0.485294117,1.7307692307692308,3.636638653855146,"10285"
"Johnny Barbato","NYY","RHP","","24",0,32,"60 / 60","","45 / 45","","40 / 40","40",44,0.26519337,0.09392265,0.324561403,3.8863638048329703,4.014901555478678,"11440"
"A.J. Cole","WSN","RHP","","25",0,12,"40 / 40","50 / 50","45 / 45","50 / 55","40 / 45","40",105.2,0.16869919,0.08536585,0.410112359,6.388013117962729,4.60117339299483,"11467"
"Vicente Campos","ARI","RHP","","24",0,14,"50 / 50","","50 / 50","55 / 55","45 / 50","40",25,0.168,0.152,0.345679012,9.359999955368043,6.525271684692159,"11681"
"Nick Kingham","PIT","RHP","","25",0,11,"55 / 55","","50 / 55","45 / 50","45 / 50","45",123.1,0.18042226,0.06333973,0.457894736,3.8675677270659463,4.115584361924533,"11694"
"Alex Meyer","LAA","RHP","","27",0,5,"70 / 70","60 / 60","","40 / 40","35 / 40","40",34,0.25,0.11875,0.474226804,6.352941176470588,4.391159140537767,"12833"
"Shawn Armstrong","CLE","RHP","MLB","26",0,16,"50 / 50","","55 / 60","","40 / 45","40",40,0.27218935,0.08284024,0.427184466,2.475,3.5732231800770933,"12857"
"Gabriel Ynoa","BAL","RHP","MLB","23",0,7,"55 / 55","50 / 50","40 / 40","45 / 50","50 / 55","40",120,0.15458015,0.05152672,0.45,4.87500007748604,4.371527586466129,"12938"
"Mauricio Cabrera","ATL","RHP","","23",0,27,"80 / 80","45 / 50","","45 / 50","40 / 40","40",52.2,0.17322835,0.21259843,0.479729729,5.9810122972191255,6.170641027941148,"12975"
"Adalberto Mejia","MIN","LHP","","23",0,5,"50 / 50","55 / 55","45 / 50","50 / 55","50 / 60","45",43,0.20930233,0.05813953,0.44262295,2.511627906976744,3.6831695844830312,"13188"
"Damien Magnifico","MIL","RHP","","25",0,25,"70 / 70","50 / 50","","","40 / 40","40",58,0.21942446,0.15107914,0.511764705,5.741380454988118,4.629856369315264,"13395"
"Felix Pena","CHC","RHP","","26",0,15,"55 / 55","","55 / 55","","40 / 40","40",45.2,0.27093596,0.07881773,0.37704918,5.124087234546687,4.117228776391645,"13403"
"Chris Beck","CHW","RHP","AAA","26",0,26,"60 / 60","55 / 55","","40 / 45","45 / 50","40",15.1,0.15492958,0.11267606,0.607843137,6.456523077700051,4.809932923388368,"13418"
"Matt Koch","ARI","RHP","","25",0,13,"50 / 50","45 / 45","","40 / 45","50 / 50","40",60,0.13357401,0.05776173,0.43119266,7.35,4.8634070503214994,"13420"
"Connor Sadzeck","TEX","RHP","","25",0,13,"60 / 60","55 / 55","50 / 50","40 / 45","40 / 45","40",97.2,0.26267281,0.0921659,0.490636704,6.174062076509972,3.341736132212925,"13483"
"Steven Okert","SFG","LHP","MLB","25",0,6,"55 / 55","60 / 60","","40 / 45","50 / 55","45",35,0.20610687,0.08396947,0.40229885,2.5714285714285716,5.0437162010067755,"13580"
"Robert Stephenson","CIN","RHP","MLB","23",0,7,"60 / 60","","40 / 45","50 / 60","40 / 45","45",56.1,0.26180258,0.08583691,0.405405405,4.313609856925816,3.712084461090533,"13594"
"Taylor Guerrieri","TBR","RHP","","24",0,23,"45 / 45","","50 / 50","45 / 50","50 / 55","40",14.1,0.27118644,0.05084746,0.567567567,3.1395355800219646,3.0714697457042393,"13616"
