Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Justin Topa","SEA","SIRP","MLB","32.3944444",,12,"60 / 60","60 / 60","","40 / 40","40 / 40","40",10.2,0.25,0.09090909,0.586206896,2.531249189051128,4.277120613640617,"15145"
"Brent Honeywell","SDP","MIRP","","28.3305555",,19,"50 / 50","","","60 / 60","60 / 60","40",33.1,0.22147651,0.08724832,0.393939393,6.750000643730225,5.21686119740461,"16466"
"Luis F. Ortiz","PHI","SP","MLB","27.8527777",,23,"50 / 50","60 / 60","45 / 50","","40 / 40","35+",55.2,0.24034335,0.07725322,0.517006802,4.203592574319864,4.436791186104321,"16942"
"Daniel Duarte","CIN","SIRP","MLB","26.6527777",,39,"55 / 55","60 / 60","","","40 / 40","35+",41,0.24858757,0.10734463,0.519230769,2.8536585365853657,4.43120281827159,"17480"
"Pedro Avila","SDP","SP","MLB","26.5416666",,32,"45 / 45","","45 / 45","55 / 55","45 / 45","35+",59.1,0.1875,0.11805556,0.421875,8.494380805065463,6.185145941325244,"18864"
"Matt Krook","NYY","MIRP","MLB","28.7722222",,43,"45 / 45","60 / 60","","40 / 40","40 / 40","35+",46,0.3626943,0.17098446,0.535714285,1.9565217391304348,3.9169768032820333,"19315"
"Lucas Erceg","MIL","SIRP","MLB","28.2444444",,34,"60 / 60","50 / 55","","30 / 40","30 / 40","35+",20,0.20930233,0.1744186,0.56862745,6.3,4.936232033467786,"19360"
"Ronel Blanco","HOU","SIRP","MLB","29.9138888",,30,"50 / 50","","40 / 40","30 / 30","30 / 30","35+",87.1,0.27683616,0.11299435,0.429245283,3.1946566746053144,4.795142500759958,"19407"
"Forrest Whitley","HOU","MIRP","MLB","25.8722222",,24,"50 / 50","50 / 50","50 / 55","50 / 55","35 / 35","40",36.2,0.22289157,0.10843373,0.475247524,5.6454540560068605,5.50989938100512,"19586"
"Guillo Zuniga","STL","SIRP","AAA","24.8027777",,17,"60 / 60","55 / 60","","45 / 45","40 / 40","40",30.2,0.25342466,0.1369863,0.313953488,7.630433991635987,5.91584611423303,"19588"
"Sixto Sanchez","MIA","SP","AAA","25",,25,"60 / 60","50 / 50","","60 / 70","50 / 55","35+",1,0.4,0.2,0.5,0,2.579115104675293,"19680"
"Connor Seabold","COL","SP","","27.5138888",,14,"45 / 45","55 / 55","45 / 45","55 / 55","55 / 60","40",43,0.25252525,0.04545455,0.278195488,7.116279069767442,4.811750847151492,"19695"
