Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Walker Lockett","NYM","RHP","MLB","26.6138888",,28,"45 / 45","","50 / 50","55 / 55","45 / 45","35+",4.2,0.11764706,0.05882353,0.461538461,0,4.163499962433982,"13804"
"Anthony Banda","TBR","LHP","MLB","26.6",,31,"55 / 55","50 / 50","40 / 40","55 / 55","40 / 45","40",8,0.1875,0.09375,0.545454545,3.375,4.826258216798306,"14706"
"Ashton Goudeau","COL","RHP","AAA","28.3916666",,13,"55 / 55","","60 / 60","45 / 45","55 / 55","40+",10,0.15555556,0.08888889,0.59375,2.7,4.72508385181427,"15139"
"Jose De Leon","CIN","RHP","","28.3527777",,31,"45 / 45","45 / 45","50 / 50","60 / 60","50 / 50","35+",4.2,0.33333333,0.19047619,0.375,3.8571402296745916,4.987337460630517,"15463"
"Hunter Harvey","BAL","RHP","MLB","26.0138888",,20,"60 / 60","","55 / 55","45 / 45","40 / 40","40",3.2,0.33333333,0.06666667,0.375,4.909086333822937,4.50860934217776,"15507"
"Devin Williams","MIL","RHP","MLB","25.7",,20,"65 / 65","55 / 55","50 / 50","40 / 40","30 / 30","40",5,0.24137931,0.20689655,0.375,14.4,6.231830418109894,"15816"
"Nick Burdi","PIT","RHP","","27.9027777",,26,"65 / 65","55 / 60","","","40 / 40","40",5.2,0.43478261,0.04347826,0.272727272,3.176468806284284,2.7442335250906567,"16074"
"Zach Thompson","CHW","RHP","MLB","27.1416666",,31,"50 / 50","55 / 60","40 / 45","","35 / 40","35+",0.2,0,0.2,0.25,13.49993200634393,10.854082623295819,"16094"
"Tejay Antone","CIN","RHP","MLB","27.025",,12,"50 / 50","55 / 60","50 / 50","40 / 45","50 / 50","40",8.1,0.17142857,0.05714286,0.56,2.1600008239749235,4.4726503984060635,"16233"
"Gerardo Reyes","SDP","RHP","","27.5861111",,39,"70 / 70","55 / 55","","","30 / 35","35+",4.2,0.15789474,0.05263158,0.466666666,5.785710344511887,4.9207279105015465,"16306"
"Ryan Castellani","COL","RHP","AAA","24.7027777",,18,"45 / 45","50 / 55","","50 / 55","40 / 40","40",6.1,0.16129032,0.29032258,0.411764705,4.263160034561174,8.601458621881292,"16377"
"Victor Gonzalez","LAD","LHP","AAA","25.0777777",,27,"50 / 50","50 / 50","45 / 45","50 / 55","45 / 50","40",5,0.26315789,0.05263158,0.6,3.6,3.156168329715729,"16408"
"Blake Taylor","HOU","LHP","","25.325",,32,"55 / 55","","55 / 55","50 / 50","40 / 40","35+",8,0.29032258,0.16129032,0.588235294,0,4.134541612863541,"16418"
"Foster Griffin","KCR","LHP","","25.3805555",,35,"40 / 40","","55 / 55","50 / 55","50 / 55","35+",6.2,0.26470588,0.11764706,0.35,9.449995493891004,4.347372294607407,"16432"
"Roel Ramirez","STL","RHP","AAA","25.55",,21,"55 / 55","50 / 50","","","40 / 40","40",4.1,0.30769231,0,0.111111111,0,3.443785881286822,"16470"
"Bryan Abreu","HOU","RHP","MLB","23.6444444",,5,"60 / 60","60 / 60","70 / 70","40 / 45","35 / 40","45",10,0.36585366,0.12195122,0.352941176,0.9,4.278457134962082,"16609"
"Carlos Sanabria","HOU","RHP","","23.8888888",,22,"60 / 60","45 / 45","50 / 50","50 / 55","30 / 35","40",2.2,0.27272727,0.18181818,0.333333333,0,6.354115677621859,"16634"
"James Bourque","WSN","RHP","","27.4305555",,19,"65 / 65","","55 / 55","","40 / 40","35+",6.1,0.47826087,0.04347826,0.454545454,2.8421066897074496,1.460999029559197,"16668"
"Julian Merryweather","TOR","RHP","MLB","29.1666666",,22,"60 / 60","40 / 40","45 / 45","60 / 60","50 / 50","40",2.2,0.26666667,0.13333333,0.444444444,13.499982699774025,5.604116638745524,"16703"
"Cam Hill","CLE","RHP","","26.5555555",,39,"60 / 60","55 / 60","","45 / 45","30 / 35","35+",6,0.13043478,0.04347826,0.444444444,1.5,6.046689621607463,"16840"
"Grant Holmes","OAK","RHP","MLB","24.7277777",,15,"50 / 50","60 / 60","","","35 / 40","40",5,0.33333333,0.08333333,0.307692307,1.8,2.6939993739128116,"16944"
"Joe Palumbo","TEX","LHP","","25.4",,8,"55 / 55","","55 / 55","50 / 55","40 / 45","45",6.1,0.15151515,0.12121212,0.478260869,12.789480103683523,5.832973100998675,"17035"
"Michael Kopech","CHW","RHP","MLB","24.6222222",19,2,"70 / 70","55 / 60","50 / 55","40 / 45","40 / 45","60",1,0.33333333,0,1,0,1.5872528076171877,"17282"
"Justus Sheffield","SEA","LHP","","23.9",,7,"55 / 55","60 / 60","","50 / 55","40 / 45","45",8,0.42857143,0,0.3125,2.25,2.431830418109894,"17285"
"Javy Guerra","SDP","RHP","","25.2194444",,24,"65 / 65","45 / 55","","","35 / 45","40",5.1,0.26315789,0.05263158,0.692307692,0,3.6581860577662297,"17292"
"Jonathan Hernandez","TEX","RHP","","24.4388888",,25,"60 / 65","50 / 50","","40 / 45","35 / 40","40",10,0.3902439,0.09756098,0.4,2.7,2.9939993739128115,"17464"
"Albert Abreu","NYY","RHP","","25.2166666",,13,"65 / 65","55 / 60","55 / 60","55 / 60","40 / 40","40+",5,0.21052632,0.10526316,0.615384615,5.4,4.662914896011353,"17485"
"Genesis Cabrera","STL","LHP","MLB","24.1777777",,7,"60 / 60","","50 / 50","50 / 55","45 / 45","45",6,0.32,0.08,0.266666666,1.5,4.072593353192012,"17490"
"Jorge Guzman","MIA","RHP","","24.8777777",,16,"60 / 65","55 / 55","","45 / 50","30 / 35","40+",1.2,0.15384615,0.38461538,0.2,26.999946570502154,16.414213689857643,"17505"
"Jimmy Herget","TEX","RHP","MLB","27.2638888",,38,"50 / 50","60 / 60","","45 / 50","50 / 55","40",5,0.4,0.15,0.222222222,0,4.400745940208435,"17556"
"JT Brubaker","PIT","RHP","MLB","27.075",,25,"60 / 60","50 / 50","55 / 55","40 / 45","40 / 45","40",2.1,0.27272727,0.09090909,0.333333333,3.85714850621175,3.8826054777474,"17578"
"Marcos Diplan","BAL","RHP","","24.2388888",,28,"55 / 55","50 / 50","","","30 / 35","35+",1.2,0.3,0.2,0.25,21.599957256401723,4.693997183804912,"17583"
