Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Trevor Stephan","CLE","SIRP","MLB","25.5166666",,34,"60 / 60","55 / 60","","40 / 45","40 / 50","40",10.1,0.36363636,0.04545455,0.4,3.483872039509447,2.879195477257105,"19932"
"Ljay Newsome","SEA","SP","","24.5638888",,23,"50 / 50","","45 / 45","55 / 60","55 / 60","40",9.2,0.22222222,0.05555556,0.461538461,2.793102529755122,4.583659450581634,"19942"
"Ian Anderson","ATL","SP","MLB","23.0805555",12,2,"55 / 60","","50 / 55","70 / 70","55 / 60","60",33,0.28965517,0.09655172,0.46590909,5.181818181818182,3.7622100626324855,"19951"
"Joey Wentz","DET","SP","MLB","23.6527777",,10,"45 / 45","","45 / 50","55 / 60","45 / 55","45",72,0.25867508,0.12933754,0.333333333,4.500000119209293,4.8972610233780545,"19962"
"Bryse Wilson","ATL","SP","MLB","23.4472222",,9,"45 / 45","40 / 40","55 / 55","40 / 45","55 / 60","45",69,0.17465753,0.06849315,0.413953488,3.782608800213822,4.752926514911685,"19990"
"Tyler Wells","BAL","SIRP","MLB","26.7638888",,39,"55 / 55","50 / 50","55 / 55","","55 / 55","35+",9,0.31578947,0.07894737,0.238095238,1,4.87397040128708,"20000"
"Wyatt Mills","SEA","SIRP","MLB","26.35",,13,"50 / 50","55 / 55","","45 / 50","50 / 55","40+",30.1,0.424,0.064,0.467741935,4.15384526688086,2.7096019070309065,"20010"
"Parker Dunshee","OAK","SP","","26.3027777",,24,"40 / 40","45 / 45","50 / 50","55 / 55","55 / 60","40",50.1,0.18777293,0.08296943,0.38125,6.79470267337043,6.017824882639049,"20018"
"Ronald Bolanos","KCR","SP","","24.7722222",,31,"60 / 60","45 / 45","45 / 45","45 / 45","40 / 45","40",47,0.19730942,0.16591928,0.488721804,7.276597534925281,5.663954135932424,"20041"
"Jesus Cruz","STL","SIRP","AAA","26.1277777",,30,"55 / 55","55 / 55","","50 / 50","30 / 35","35+",38.2,0.23121387,0.15606936,0.333333333,2.793104062536944,5.794152889269721,"20042"
